databasename,tablename,tablename_temp
src_heliumplus_fertilaid_clinic,clinic,clinic_temp
src_heliumplus_fertilaid_clinic,company,company_temp
src_heliumplus_fertilaid_clinic,diagnoses,diagnoses_temp
src_heliumplus_fertilaid_clinic,countries,countries_temp
src_heliumplus_fertilaid_clinic,doctor_who_saw_who,doctor_who_saw_who_temp
src_heliumplus_fertilaid_clinic,drugs,drugs_temp
src_heliumplus_fertilaid_clinic,encounter,encounter_temp
src_heliumplus_fertilaid_clinic,encounter_form,encounter_form_temp
src_heliumplus_fertilaid_clinic,enrollments_antenatal,enrollments_antenatal_temp
src_heliumplus_fertilaid_clinic,enrollments_immunization,enrollments_immunization_temp
src_heliumplus_fertilaid_clinic,in_patient,in_patient_temp
src_heliumplus_fertilaid_clinic,lab_requests,lab_requests_temp
src_heliumplus_fertilaid_clinic,lab_result,lab_result_temp
src_heliumplus_fertilaid_clinic,lab_result_data,lab_result_data_temp
src_heliumplus_fertilaid_clinic,staff_directory,staff_directory_temp
src_heliumplus_fertilaid_clinic,staff_roles,staff_roles_temp
src_heliumplus_fertilaid_clinic,staff_specialization,staff_specialization_temp
src_heliumplus_fertilaid_clinic,state,state_temp
src_heliumplus_fertilaid_clinic,patient_demograph,patient_demograph_temp
src_heliumplus_fertilaid_clinic,clinical_medication,clinical_medication_temp
src_heliumplus_fertilaid_clinic,clinical_medication_data,clinical_medication_data_temp
src_heliumplus_fertilaid_clinic,drug_formulary,drug_formulary_temp
src_heliumplus_fertilaid_clinic,drug_formulary_data,drug_formulary_data_temp
src_heliumplus_fertilaid_clinic,patient_diagnoses,patient_diagnoses_temp
src_heliumplus_fertilaid_clinic,dispensed_drugs,dispensed_drugs_temp
src_heliumplus_fertilaid_clinic,patient_labs,patient_labs_temp
src_heliumplus_fertilaid_clinic,patient_scan,patient_scan_temp
src_heliumplus_wellnesspartners_clinic,clinic,clinic_temp
src_heliumplus_wellnesspartners_clinic,company,company_temp
src_heliumplus_wellnesspartners_clinic,diagnoses,diagnoses_temp
src_heliumplus_wellnesspartners_clinic,countries,countries_temp
src_heliumplus_wellnesspartners_clinic,doctor_who_saw_who,doctor_who_saw_who_temp
src_heliumplus_wellnesspartners_clinic,drugs,drugs_temp
src_heliumplus_wellnesspartners_clinic,encounter,encounter_temp
src_heliumplus_wellnesspartners_clinic,encounter_form,encounter_form_temp
src_heliumplus_wellnesspartners_clinic,enrollments_antenatal,enrollments_antenatal_temp
src_heliumplus_wellnesspartners_clinic,enrollments_immunization,enrollments_immunization_temp
src_heliumplus_wellnesspartners_clinic,in_patient,in_patient_temp
src_heliumplus_wellnesspartners_clinic,lab_requests,lab_requests_temp
src_heliumplus_wellnesspartners_clinic,lab_result,lab_result_temp
src_heliumplus_wellnesspartners_clinic,lab_result_data,lab_result_data_temp
src_heliumplus_wellnesspartners_clinic,staff_directory,staff_directory_temp
src_heliumplus_wellnesspartners_clinic,staff_roles,staff_roles_temp
src_heliumplus_wellnesspartners_clinic,staff_specialization,staff_specialization_temp
src_heliumplus_wellnesspartners_clinic,state,state_temp
src_heliumplus_wellnesspartners_clinic,patient_demograph,patient_demograph_temp
src_heliumplus_wellnesspartners_clinic,clinical_medication,clinical_medication_temp
src_heliumplus_wellnesspartners_clinic,clinical_medication_data,clinical_medication_data_temp
src_heliumplus_wellnesspartners_clinic,drug_formulary,drug_formulary_temp
src_heliumplus_wellnesspartners_clinic,drug_formulary_data,drug_formulary_data_temp
src_heliumplus_wellnesspartners_clinic,patient_diagnoses,patient_diagnoses_temp
src_heliumplus_wellnesspartners_clinic,dispensed_drugs,dispensed_drugs_temp
src_heliumplus_wellnesspartners_clinic,patient_labs,patient_labs_temp
src_heliumplus_wellnesspartners_clinic,patient_scan,patient_scan_temp
src_heliumplus_imagediagnostics_borokiri,clinic,clinic_temp
src_heliumplus_imagediagnostics_borokiri,company,company_temp
src_heliumplus_imagediagnostics_borokiri,diagnoses,diagnoses_temp
src_heliumplus_imagediagnostics_borokiri,countries,countries_temp
src_heliumplus_imagediagnostics_borokiri,doctor_who_saw_who,doctor_who_saw_who_temp
src_heliumplus_imagediagnostics_borokiri,drugs,drugs_temp
src_heliumplus_imagediagnostics_borokiri,encounter,encounter_temp
src_heliumplus_imagediagnostics_borokiri,encounter_form,encounter_form_temp
src_heliumplus_imagediagnostics_borokiri,enrollments_antenatal,enrollments_antenatal_temp
src_heliumplus_imagediagnostics_borokiri,enrollments_immunization,enrollments_immunization_temp
src_heliumplus_imagediagnostics_borokiri,in_patient,in_patient_temp
src_heliumplus_imagediagnostics_borokiri,lab_requests,lab_requests_temp
src_heliumplus_imagediagnostics_borokiri,lab_result,lab_result_temp
src_heliumplus_imagediagnostics_borokiri,lab_result_data,lab_result_data_temp
src_heliumplus_imagediagnostics_borokiri,staff_directory,staff_directory_temp
src_heliumplus_imagediagnostics_borokiri,staff_roles,staff_roles_temp
src_heliumplus_imagediagnostics_borokiri,staff_specialization,staff_specialization_temp
src_heliumplus_imagediagnostics_borokiri,state,state_temp
src_heliumplus_imagediagnostics_borokiri,patient_demograph,patient_demograph_temp
src_heliumplus_imagediagnostics_borokiri,clinical_medication,clinical_medication_temp
src_heliumplus_imagediagnostics_borokiri,clinical_medication_data,clinical_medication_data_temp
src_heliumplus_imagediagnostics_borokiri,drug_formulary,drug_formulary_temp
src_heliumplus_imagediagnostics_borokiri,drug_formulary_data,drug_formulary_data_temp
src_heliumplus_imagediagnostics_borokiri,patient_diagnoses,patient_diagnoses_temp
src_heliumplus_imagediagnostics_borokiri,dispensed_drugs,dispensed_drugs_temp
src_heliumplus_imagediagnostics_borokiri,patient_labs,patient_labs_temp
src_heliumplus_imagediagnostics_borokiri,patient_scan,patient_scan_temp
src_heliumplus_imagediagnostics_ph,clinic,clinic_temp
src_heliumplus_imagediagnostics_ph,company,company_temp
src_heliumplus_imagediagnostics_ph,diagnoses,diagnoses_temp
src_heliumplus_imagediagnostics_ph,countries,countries_temp
